************* Module idlelib.scrolledlist
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0401: Wildcard import tkinter (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:63:33: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:86:23: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:99:25: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:50:12: W0201: Attribute 'empty' defined outside __init__ (attribute-defined-outside-init)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:133:4: C0103: Variable name "x" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:133:7: C0103: Variable name "y" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:136:29: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:137:36: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:138:36: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:148:4: E0611: No name 'idle_test' in module 'idlelib' (no-name-in-module)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import enum from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import sys from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import TclError from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import re from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import wantobjects from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import TkVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import TclVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import READABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import WRITABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import EXCEPTION from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import EventType from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import Event from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import NoDefaultRoot from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import Variable from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import StringVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/scrolledlist.py:1:0: W0614: Unused import IntVar from wildcard import (unused-wildcard-import)
