************* Module tkinter.dialog
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0401: Wildcard import tkinter (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:10:4: W0102: Dangerous default value {} as argument (dangerous-default-value)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:10:4: W0231: __init__ method from base class 'Widget' is not called (super-init-not-called)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:20:13: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:21:25: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:23:23: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:27:4: C0103: Variable name "d" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import enum from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import sys from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import re from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import wantobjects from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import TkVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import TclVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import READABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import WRITABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import EXCEPTION from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import EventType from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import Event from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/tkinter/dialog.py:3:0: W0614: Unused import NoDefaultRoot from wildcard import (unused-wildcard-import)
